year,dataSet,station,folder,date_start,date_end
2021,2021-BE,grafton,WBAT_2021_grafton,7/12/2021,8/30/2021
2021,2021-BE,birkenfels,WBAT_2021_birkenfels,7/12/2021,8/30/2021
2021,2021-BE,cpower,WBAT_2021_cpower,7/12/2021,8/30/2021
2021,2021-BE,belwind,WBAT_2021_belwind,7/12/2021,8/30/2021
2022,2022-cpower,267814,267814,1/19/2022,2/4/2022
2022,2022-cpower,267838,267878,1/19/2022,2/4/2022
2022,2022-cpower,274174,274174,1/19/2022,2/4/2022
2022,2022-cpower,278093,278093,1/19/2022,2/4/2022
2023,2023-BE,belwind,WBAT_2023_belwind,7/5/2023,9/3/2023
2023,2023-BE,cpower,WBAT_2023_cpower,7/5/2023,9/3/2023
2023,2023-BE,gardencity,WBAT_2023_gardencity,7/5/2023,9/3/2023
2023,2023-BE,grafton,WBAT_2023_grafton,7/5/2023,9/3/2023
2023,2023-BSW,267814 BSW3,267814_Borssele-3,5/7/2023,6/16/2023
2023,2023-BSW,267838 BSW4,267838_Borssele-4,5/7/2023,6/16/2023
2023,2023-BSW,274174 BSW1,274174_Borssele-1,5/7/2023,6/16/2023
2023,2023-BSW,278093 BSW2,278093_Borssele-2,5/7/2023,6/16/2023
